"weight";"word";"color";"url"
"2";"Blockchain";"";""
"2";"DDD";"";""
"2";"Flutter";"";""
"2";"Gopher";"";""
"2";"MicroservicesArchitecture";"";""
"2";"Python";"";""
"2";"Rubyist";"";""
"2";"UML";"";""
"1";"ActiveRecord";"";""
"1";"ActorModel";"";""
"1";"AFNetworking";"";""
"1";"Alamofire";"";""
"1";"Aliyun";"";""
"1";"Android";"";""
"1";"AWS";"";""
"1";"BDD";"";""
"1";"C99";"";""
"1";"CI/CD";"";""
"1";"CocoaPods";"";""
"1";"Cocos2d-js";"";""
"1";"Cocos2d-x";"";""
"1";"CommunicatingSequentialProcesses";"";""
"1";"CPP";"";""
"1";"CSRF";"";""
"1";"CSS";"";""
"1";"Cucumber.js";"";""
"1";"Cypress";"";""
"1";"Dart2";"";""
"1";"DDoS";"";""
"1";"Development";"";""
"1";"Django";"";""
"1";"Docker";"";""
"1";"Docker-compose";"";""
"1";"ECC";"";""
"1";"Echo";"";""
"1";"Egret";"";""
"1";"ELK";"";""
"1";"Envoy";"";""
"1";"Erlang";"";""
"1";"ES6";"";""
"1";"ETCD";"";""
"1";"EthereumSmartContract";"";""
"1";"Event";"";""
"1";"Express";"";""
"1";"Fima";"";""
"1";"flyway";"";""
"1";"Gin";"";""
"1";"Git";"";""
"1";"Gitflow";"";""
"1";"Gitlab";"";""
"1";"Golang";"";""
"1";"Gradle";"";""
"1";"Grafana";"";""
"1";"GraphQL";"";""
"1";"gRPC";"";""
"1";"HTTP";"";""
"1";"HTTPS";"";""
"1";"IaaS";"";""
"1";"IAM";"";""
"1";"iOS";"";""
"1";"Istio";"";""
"1";"Java";"";""
"1";"Javascript";"";""
"1";"Jenkins";"";""
"1";"JIRA";"";""
"1";"jsbridge";"";""
"1";"JupyterNotebook";"";""
"1";"JWT";"";""
"1";"K8s";"";""
"1";"Kafka";"";""
"1";"Kanban";"";""
"1";"Koa";"";""
"1";"Kong";"";""
"1";"Kotlin";"";""
"1";"Leancloud";"";""
"1";"LESS";"";""
"1";"Linux";"";""
"1";"Lua";"";""
"1";"MacVim";"";""
"1";"Maven";"";""
"1";"MD5";"";""
"1";"MFC";"";""
"1";"MongoDB";"";""
"1";"MP4";"";""
"1";"MVVM";"";""
"1";"MySQL";"";""
"1";"Next.js";"";""
"1";"Nginx";"";""
"1";"node.js";"";""
"1";"Nuxt.js";"";""
"1";"OAuth2";"";""
"1";"Objective-C";"";""
"1";"PairProgramming";"";""
"1";"PostgreSQL";"";""
"1";"Prometheus";"";""
"1";"Protobuf";"";""
"1";"Puppeteer";"";""
"1";"Quorum";"";""
"1";"RabbitMQ";"";""
"1";"React";"";""
"1";"Redis";"";""
"1";"ReplayAttacks";"";""
"1";"RESTFulAPI";"";""
"1";"RoR";"";""
"1";"RSA";"";""
"1";"RTMP";"";""
"1";"RTP";"";""
"1";"Ruby";"";""
"1";"RxSwift";"";""
"1";"SCSS";"";""
"1";"Scurm";"";""
"1";"Sequel";"";""
"1";"Serverless";"";""
"1";"ServiceMesh";"";""
"1";"SHA256";"";""
"1";"Sketch";"";""
"1";"Solidity";"";""
"1";"SpringBoot";"";""
"1";"SpringCloud";"";""
"1";"Storming";"";""
"1";"Swift";"";""
"1";"TCP/UDP";"";""
"1";"TDD";"";""
"1";"TencentCloud";"";""
"1";"Terraform";"";""
"1";"TLS";"";""
"1";"Trello";"";""
"1";"TrunkBasedDevelopment";"";""
"1";"Typescript";"";""
"1";"Ubuntu";"";""
"1";"UCloud";"";""
"1";"Vim";"";""
"1";"VSCode";"";""
"1";"Vue.js";"";""
"1";"web3";"";""
"1";"Wechat-MiniProgram";"";""
